id;cind;ccod;tdes;cfac;cuser;cidpr;fupgr;tupgr;created_at;updated_at;ccodmarca
995;45;1;MOLITALIA;1;SICSOFT;PF3GRI01   M;30/03/2017;15:59:14;5/02/2025 11:28;5/02/2025 11:28;1
996;45;2;CONFIPERU;2;SICSOFT;PF3GRI01   M;24/07/2018;04:14:34;5/02/2025 11:28;5/02/2025 11:28;2
997;45;3;KRAFT FOOTS;3;SICSOFT;PF3GRI01   M;24/07/2018;04:14:55;5/02/2025 11:28;5/02/2025 11:28;3
998;45;4;MAURICE;4;SICSOFT;PF3GRI01   M;25/07/2018;19:24:51;5/02/2025 11:28;5/02/2025 11:28;4
999;45;5;2 CERRITOS;5;SICSOFT;PF3GRI01   M;24/07/2018;04:15:28;5/02/2025 11:28;5/02/2025 11:28;5
1000;45;6;NESTLE;6;SICSOFT;PF3GRI01   M;24/07/2018;04:15:44;5/02/2025 11:28;5/02/2025 11:28;6
1001;45;7;XXX JORGE;7;GOLOMIX;PF3GRI01   M;26/05/2022;08:26:43;5/02/2025 11:28;5/02/2025 11:28;7
1002;45;8;SANTIAGO;8;SICSOFT;PF3GRI01   M;24/07/2018;04:16:22;5/02/2025 11:28;5/02/2025 11:28;8
1003;45;9;ODET;9;GESTOR1;PF3GRI01   M;24/04/2023;10:28:00;5/02/2025 11:28;5/02/2025 11:28;9
1004;45;10;VICTORIA;10;SICSOFT;PF3GRI01   M;24/07/2018;04:16:49;5/02/2025 11:28;5/02/2025 11:28;10
1005;45;11;PEPSI;11;SICSOFT;PINSGRI01  I;30/03/2017;16:00:22;5/02/2025 11:28;5/02/2025 11:28;11
1006;45;12;WINTERS;12;SICSOFT;PF3GRI01   M;24/07/2018;04:17:10;5/02/2025 11:28;5/02/2025 11:28;12
1055;45;13;GLAX;13;SISTEMA2;PF3GRI01   M;31/08/2024;08:34:41;5/02/2025 11:28;5/02/2025 11:28;13
1056;45;14;COLOMBINA;14;SICSOFT;PINSGRI01  I;20/10/2018;15:02:33;5/02/2025 11:28;5/02/2025 11:28;14
1057;45;15;LA GITANA;15;SICSOFT;PINSGRI01  I;8/12/2018;15:20:18;5/02/2025 11:28;5/02/2025 11:28;15
1059;45;16;BENOTI;16;SICSOFT;PINSGRI01  I;28/01/2019;16:45:11;5/02/2025 11:28;5/02/2025 11:28;16
1060;45;17;PRIMOR;17;SICSOFT;PF3GRI01   M;29/01/2019;15:36:26;5/02/2025 11:28;5/02/2025 11:28;17
1073;45;18;BELTRAN;18;SICSOFT;PINSGRI01  I;21/05/2019;15:05:29;5/02/2025 11:28;5/02/2025 11:28;18
1076;45;19;ADELCO;19;SICSOFT;PF3GRI01   M;6/08/2019;15:51:36;5/02/2025 11:28;5/02/2025 11:28;19
1077;45;20;ARCOR;20;GOLOMIX;PF3GRI01   M;4/05/2022;08:41:03;5/02/2025 11:28;5/02/2025 11:28;20
1078;45;21;MIMASKOT;21;SICSOFT;PINSGRI01  I;4/03/2020;16:34:03;5/02/2025 11:28;5/02/2025 11:28;21
1083;45;22;REDJOS PIQUEOS;22;SICSOFT;PINSGRI01  I;11/05/2020;17:02:06;5/02/2025 11:28;5/02/2025 11:28;22
1087;45;23;MAGNESOL;23;SICSOFT;PF3GRI01   M;16/07/2020;12:00:22;5/02/2025 11:28;5/02/2025 11:28;23
1088;45;24;CAMPO NORTE;24;SISTEMA1;PF3GRI01   M;28/11/2023;09:22:50;5/02/2025 11:28;5/02/2025 11:28;24
1089;45;25;SUNDA INTERNATIONAL;25;SICSOFT;PINSGRI01  I;9/11/2020;12:49:03;5/02/2025 11:28;5/02/2025 11:28;25
1090;45;26;YOMAR SAC;26;GESTOR1;PF3GRI01   M;27/04/2023;08:32:11;5/02/2025 11:28;5/02/2025 11:28;26
1091;45;27;DOYPACK;27;NQUISPE;PINSGRI01  I;19/01/2021;15:30:39;5/02/2025 11:28;5/02/2025 11:28;27
1092;45;28;GRANOS DEL VALLE;28;NQUISPE;PINSGRI01  I;8/04/2021;13:48:31;5/02/2025 11:28;5/02/2025 11:28;28
1093;45;29;PARACAS;29;GESTOR1;PF3GRI01   M;18/03/2023;08:39:15;5/02/2025 11:28;5/02/2025 11:28;29
1096;45;30;SALVATTORE;30;SISTEMA2;PF3GRI01   M;14/06/2024;09:15:09;5/02/2025 11:28;5/02/2025 11:28;30
1107;45;31;DELICORP SAC;31;SISTEMA2;PF3GRI01   M;2/09/2024;08:43:22;5/02/2025 11:28;5/02/2025 11:28;31
1108;45;32;GUSTOZZI;32;SISTEMA2;PF3GRI01   M;6/03/2024;08:46:19;5/02/2025 11:28;5/02/2025 11:28;32
23055;45;33;KOKI;33;SISTEMA2;PINSGRI01  I;15/04/2024;10:15:28;5/02/2025 11:28;5/02/2025 11:28;33
1113;45;35;FINI;35;GESTOR1;PINSGRI01  I;27/06/2023;08:56:21;5/02/2025 11:28;5/02/2025 11:28;35
1106;45;40;SAN JORGE;40;GOLOMIX;PF3GRI01   M;26/05/2022;08:27:19;5/02/2025 11:28;5/02/2025 11:28;40
